Slide 001 Tile Summary:
Original Dimensions: 15980x18263
Original Tile Size: 1024x1024
Scale Factor: 1/32x
Scaled Dimensions: 499x570
Scaled Tile Size: 32x32
Total Mask: 80.19%, Total Tissue: 19.81%
Tiles: 16x18 = 288
    30 (10.42%) tiles >=80% tissue
    63 (21.88%) tiles >=10% and <80% tissue
    20 ( 6.94%) tiles >0% and <10% tissue
   175 (60.76%) tiles =0% tissue


Tile Num,Row,Column,Tissue %,Tissue Quantity,Col Start,Row Start,Col End,Row End,Col Size,Row Size,Original Col Start,Original Row Start,Original Col End,Original Row End,Original Col Size,Original Row Size,Color Factor,S and V Factor,Quantity Factor,Score
59,4,11,3.12,LOW,320,96,352,128,32,32,10248,3076,11272,4100,1024,1024,  21,1.00,0.10,0.0011
60,4,12,33.20,MEDIUM,352,96,384,128,32,32,11272,3076,12296,4100,1024,1024,   8,1.00,0.20,0.0979
61,4,13,67.48,MEDIUM,384,96,416,128,32,32,12297,3076,13321,4100,1024,1024,   5,1.00,0.20,0.2283
62,4,14,73.44,MEDIUM,416,96,448,128,32,32,13322,3076,14346,4100,1024,1024,   4,1.00,0.20,0.2467
63,4,15,78.52,MEDIUM,448,96,480,128,32,32,14347,3076,15371,4100,1024,1024,   4,1.00,0.20,0.2566
64,4,16,23.68,MEDIUM,480,96,499,128,19,32,15372,3076,15980,4100,608,1024,   4,1.00,0.20,0.0295
65,5,1,0.00,NONE,0,128,32,160,32,32,0,4101,1024,5125,1024,1024,   0,0.16,0.00,0.0000
66,5,2,31.25,MEDIUM,32,128,64,160,32,32,1025,4101,2049,5125,1024,1024,  41,1.00,0.20,0.1775
67,5,3,49.61,MEDIUM,64,128,96,160,32,32,2050,4101,3074,5125,1024,1024,  14,1.00,0.20,0.2442
68,5,4,83.40,HIGH,96,128,128,160,32,32,3074,4101,4098,5125,1024,1024,  16,1.00,1.00,0.6649
69,5,5,57.23,MEDIUM,128,128,160,160,32,32,4099,4101,5123,5125,1024,1024,  38,1.00,0.20,0.4130
70,5,6,6.93,LOW,160,128,192,160,32,32,5124,4101,6148,5125,1024,1024, 115,1.00,0.10,0.0120
71,5,7,35.06,MEDIUM,192,128,224,160,32,32,6149,4101,7173,5125,1024,1024, 144,1.00,0.20,0.2945
72,5,8,3.42,LOW,224,128,256,160,32,32,7173,4101,8197,5125,1024,1024,  78,1.00,0.10,0.0025
73,5,9,7.52,LOW,256,128,288,160,32,32,8198,4101,9222,5125,1024,1024,  15,1.00,0.10,0.0052
74,5,10,5.37,LOW,288,128,320,160,32,32,9223,4101,10247,5125,1024,1024,  52,1.00,0.10,0.0052
75,5,11,31.54,MEDIUM,320,128,352,160,32,32,10248,4101,11272,5125,1024,1024,  25,1.00,0.20,0.1518
76,5,12,94.43,HIGH,352,128,384,160,32,32,11272,4101,12296,5125,1024,1024,  13,1.00,1.00,0.7004
77,5,13,99.12,HIGH,384,128,416,160,32,32,12297,4101,13321,5125,1024,1024,  15,1.00,1.00,0.7326
78,5,14,91.70,HIGH,416,128,448,160,32,32,13322,4101,14346,5125,1024,1024,   5,1.00,1.00,0.6087
79,5,15,90.92,HIGH,448,128,480,160,32,32,14347,4101,15371,5125,1024,1024,   6,1.00,1.00,0.6176
80,5,16,18.91,MEDIUM,480,128,499,160,19,32,15372,4101,15980,5125,608,1024,   5,1.00,0.20,0.0245
81,6,1,0.00,NONE,0,160,32,192,32,32,0,5126,1024,6151,1024,1025,   0,0.16,0.00,0.0000
82,6,2,3.12,LOW,32,160,64,192,32,32,1025,5126,2049,6151,1024,1025,  19,1.00,0.10,0.0010
83,6,3,19.34,MEDIUM,64,160,96,192,32,32,2050,5126,3074,6151,1024,1025,  26,1.00,0.20,0.0639
84,6,4,39.45,MEDIUM,96,160,128,192,32,32,3074,5126,4098,6151,1024,1025,  76,1.00,0.20,0.3027
85,6,5,19.73,MEDIUM,128,160,160,192,32,32,4099,5126,5123,6151,1024,1025, 218,1.00,0.20,0.1288
86,6,6,37.40,MEDIUM,160,160,192,192,32,32,5124,5126,6148,6151,1024,1025, 245,1.00,0.20,0.3536
87,6,7,49.80,MEDIUM,192,160,224,192,32,32,6149,5126,7173,6151,1024,1025, 221,1.00,0.20,0.4860
88,6,8,5.76,LOW,224,160,256,192,32,32,7173,5126,8197,6151,1024,1025, 221,1.00,0.10,0.0103
89,6,9,74.71,MEDIUM,256,160,288,192,32,32,8198,5126,9222,6151,1024,1025,  55,1.00,0.20,0.5813
90,6,10,63.18,MEDIUM,288,160,320,192,32,32,9223,5126,10247,6151,1024,1025,  45,1.00,0.20,0.4781
91,6,11,12.89,MEDIUM,320,160,352,192,32,32,10248,5126,11272,6151,1024,1025,  19,1.00,0.20,0.0251
92,6,12,32.23,MEDIUM,352,160,384,192,32,32,11272,5126,12296,6151,1024,1025,  29,1.00,0.20,0.1668
93,6,13,93.36,HIGH,384,160,416,192,32,32,12297,5126,13321,6151,1024,1025,  31,1.00,1.00,0.7506
94,6,14,86.52,HIGH,416,160,448,192,32,32,13322,5126,14346,6151,1024,1025,   9,1.00,1.00,0.6295
95,6,15,33.89,MEDIUM,448,160,480,192,32,32,14347,5126,15371,6151,1024,1025,   8,1.00,0.20,0.0961
96,6,16,0.00,NONE,480,160,499,192,19,32,15372,5126,15980,6151,608,1025,   0,0.16,0.00,0.0000
97,7,1,0.00,NONE,0,192,32,224,32,32,0,6152,1024,7176,1024,1024,   0,0.16,0.00,0.0000
98,7,2,0.00,NONE,32,192,64,224,32,32,1025,6152,2049,7176,1024,1024,   0,0.16,0.00,0.0000
